,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0,,"Zagubica,  Zagubica Municipality","Prisjan,  Pirot Administrative District","Godacica,  Kraljevo City","Gornja Lisina,  Bosilegrad Municipality","Labukovo,  Svrljig Municipality","Rucici,  Gornji Milanovac Municipality","Balajnac,  Despotovac Municipality","Batinac,  Cuprija Municipality","Resavica,  Despotovac Municipality","Mirosaljci,  Lazarevac Urban Municipality","Kalimance,  Vladicin Han Municipality","Biljanovac,  Raska Municipality","Gornja Trnava,  Topola Municipality","29,  Drmanovici","444,  Donje Tlamino","161,  Dubocka","259,  Novo Selo","Batrage,  Tutin Municipality","Brlog,  Pirot Administrative District","21,  Kladnica","Krivi Vir,  Boljevac Municipality","234,  Saprance","396,  Miroc","Katici,  Ivanjica Municipality","35,  Minicevo","208,  Станишинци","225,  Marina Kutina","Milosevo,  Jagodina City","Zdrelo Spa,  66","Пусто Поље,  Ибарска","Симе Марковића,  Veliki Borak","162,  Cesljeva Bara","376,  Malesevo","Gradska,  Crna Trava Municipality","Naupare,  Rasina Administrative District","373,  Kisiljevo","226,  Crkvica","Vasilj,  Knjazevac Municipality","Ибарски пут,  Dudovica","34,  Tekija","Velika Krusevica,  Rasina Administrative District","Igriste,  Kursumlija Municipality","177,  Lipovac","Mackat,  Cajetina Municipality","Buvce,  Lebane Municipality","211,  Ziljci","Leskovo,  Majdanpek Municipality","Livadje,  Brus Municipality","ОП-41,  Grobnice","Sarbanovac,  City of Bor","391,  Zlot","199,  Durice","Чиниглавци,  Ciniglavci","Bata Lakina,  Denino brdo","Barbatovac,  Blace Municipality","Јастребачка,  Veliki Siljegovac","39,  Donje Trnjane","207,  Mrmos","Voluja,  Kucevo Municipality","Klisurska,  Vukanja","35,  Kladovo","Belo Polje,  Surdulica Municipality","Месна заједница Трнава,  Trnava","23,  Gugalj","Месна заједница Саставци,  Zagradina","34,  Boljetin","147,  Glibovac","442,  Donja Ljubata","35,  Grabovica","Drazevice,  Sjenica Municipality","Маршала Тита,  Pecenjevce","Vitasi,  Градска општина Ужице","Donja Gledjica,  Gledjica","Knic,  Knic Municipality","35,  Sikole","Косовска,  Poljana","37223 Разбојна,  208","Руђера Бошковића,  Trnava","Obrez,  Varvarin Municipality","199,  Prcenova","221,  Izatovci","Bela Voda,  Bratisevac","258,  Mala Kopasnica","Bresje,  Jagodina City","Kopljare,  Arandjelovac Municipality","39,  Petrilje","Sirogojno,  Cajetina Municipality","393,  Vlaole","147,  Kladurovo","Jablanica,  Cajetina Municipality","338,  Makoviste","195,  Jasenovo","Ибарска,  Varevo","Maljurevac,  Pozarevac Urban Municipality","Војводе Путника,  Milocaj","Psanik,  Lucani Municipality","Lopatnica,  Kraljevo City","Mali Izvor,  Boljevac Municipality","Rudno,  Kraljevo City","217,  Blendija","Ратка Павловића Ћићка,  Sainovac","Cerova,  Arilje Municipality","Bobovo,  Svilajnac Municipality","194,  Месна заједница Кратово","Radenka,  Kucevo Municipality","Rgotina,  Zajecar Administrative District","Уровица,  Urovica","418,  Babin Potok","Ибарски пут,  Brdjani","Poslon,  Razanj Municipality","201,  Trijebine","186,  Lipovica","Црноклиште,  Crnokliste","Otroci,  Vrnjacka Banja Municipality","Seljasnica,  Prijepolje Municipality","415,  Velika Plana","Ćukovac,  Cukovac","Josanica,  Sokobanja Municipality","Berilovac,  Pirot Administrative District","R 254,  Milosevo","183,  Gornja Sabanta","Josanica,  Zagubica Municipality","Vojkovci,  Topola Municipality","Donji Gajtan,  Medvedja Municipality","Svodje,  Vlasotince Municipality","Pranjani,  Вуковићи","Skorica,  Razanj Municipality","27,  Donja Raca","Loznica,  Cacak City","189,  Oparic","150,  Garasi","Mosna,  Majdanpek Municipality","Ropocevo,  Sopot Urban Municipality","187,  Medvedja","Балканска,  Aleksinacki Bujmir","Crnajka,  Majdanpek Municipality","Burdimo,  Svrljig Municipality","203,  Crkvine","Trgoviste,  Knjazevac Municipality","Zabljane,  City of Leskovac","Vlasina Stojkoviceva,  Surdulica Municipality","Gornji Stajevac,  Trgoviste Municipality","Vrbovo,  Vladicin Han Municipality","231,  Radicevci","Trnovi Laz,  City of Prokuplje","Presevo,  Presevo Municipality","202,  Borostica","35,  Vrelo","Piskupovo,  City of Leskovac","Vlase,  Градска општина Врање","Custica,  Knjazevac Municipality","Mala Kosanica,  Kursumlija Municipality","Katun,  Градска општина Врање","222,  Vrtovac","Osonica,  Ivanjica Municipality","Јабланичка,  Popovac","Nesalce,  Bujanovac Municipality","Vlasi,  Pirot Administrative District","389,  Zlot"
1,"Zagubica,  Zagubica Municipality",,"191 km,3 hours 32 mins","152 km,2 hours 54 mins","302 km,4 hours 28 mins","132 km,2 hours 37 mins","160 km,3 hours 18 mins","66.6 km,1 hour 26 mins","85.0 km,1 hour 48 mins","69.9 km,1 hour 33 mins","161 km,2 hours 37 mins","254 km,3 hours 32 mins","224 km,3 hours 57 mins","115 km,2 hours 18 mins","292 km,5 hours 2 mins","342 km,5 hours 18 mins","53.0 km,1 hour 3 mins","213 km,3 hours 4 mins","295 km,5 hours 14 mins","213 km,4 hours 6 mins","258 km,4 hours 57 mins","100 km,1 hour 37 mins","293 km,3 hours 54 mins","89.2 km,2 hours 11 mins","248 km,4 hours 23 mins","101 km,1 hour 49 mins","186 km,3 hours 27 mins","193 km,3 hours 4 mins","93.7 km,1 hour 53 mins","37.6 km,45 mins","205 km,3 hours 39 mins","181 km,2 hours 49 mins","84.9 km,1 hour 34 mins","99.0 km,2 hours 0 mins","259 km,4 hours 1 min","138 km,2 hours 35 mins","102 km,1 hour 48 mins","216 km,3 hours 13 mins","127 km,2 hours 18 mins","199 km,3 hours 14 mins","102 km,2 hours 13 mins","128 km,2 hours 24 mins","212 km,4 hours 1 min","136 km,2 hours 34 mins","237 km,4 hours 7 mins","239 km,3 hours 53 mins","174 km,3 hours 9 mins","26.6 km,47 mins","190 km,3 hours 26 mins","336 km,5 hours 51 mins","61.3 km,1 hour 7 mins","47.4 km,58 mins","282 km,5 hours 1 min","223 km,3 hours 51 mins","113 km,2 hours 6 mins","186 km,3 hours 24 mins","140 km,2 hours 29 mins","215 km,3 hours 12 mins","149 km,2 hours 41 mins","64.8 km,1 hour 27 mins","158 km,2 hours 49 mins","166 km,2 hours 26 mins","256 km,3 hours 30 mins","225 km,4 hours 5 mins","195 km,3 hours 26 mins","331 km,6 hours 14 mins","74.2 km,1 hour 49 mins","101 km,2 hours 2 mins","333 km,5 hours 14 mins","152 km,2 hours 15 mins","296 km,5 hours 20 mins","196 km,2 hours 53 mins","260 km,4 hours 25 mins","239 km,4 hours 38 mins","133 km,2 hours 31 mins","98.9 km,1 hour 35 mins","78.4 km,1 hour 30 mins","161 km,2 hours 56 mins","267 km,4 hours 48 mins","109 km,2 hours 18 mins","268 km,4 hours 43 mins","215 km,4 hours 9 mins","227 km,3 hours 23 mins","226 km,3 hours 7 mins","90.0 km,1 hour 56 mins","128 km,2 hours 31 mins","255 km,4 hours 1 min","239 km,4 hours 24 mins","42.9 km,1 hour 6 mins","68.0 km,1 hour 19 mins","258 km,4 hours 33 mins","284 km,4 hours 29 mins","269 km,4 hours 47 mins","238 km,4 hours 10 mins","86.0 km,1 hour 35 mins","154 km,2 hours 51 mins","195 km,3 hours 42 mins","186 km,3 hours 26 mins","81.9 km,1 hour 28 mins","254 km,4 hours 32 mins","108 km,1 hour 57 mins","186 km,2 hours 46 mins","215 km,3 hours 48 mins","62.2 km,1 hour 16 mins","288 km,5 hours 0 mins","78.6 km,1 hour 45 mins","66.3 km,1 hour 19 mins","146 km,2 hours 15 mins","193 km,2 hours 57 mins","166 km,3 hours 2 mins","121 km,2 hours 11 mins","286 km,5 hours 30 mins","33.8 km,42 mins","175 km,3 hours 17 mins","173 km,3 hours 8 mins","318 km,5 hours 30 mins","209 km,3 hours 17 mins","276 km,3 hours 39 mins","121 km,2 hours 14 mins","182 km,3 hours 23 mins","121 km,1 hour 54 mins","108 km,2 hours 14 mins","14.9 km,20 mins","137 km,2 hours 40 mins","256 km,4 hours 3 mins","235 km,3 hours 27 mins","190 km,3 hours 38 mins","129 km,2 hours 10 mins","87.1 km,1 hour 46 mins","171 km,3 hours 12 mins","115 km,2 hours 26 mins","148 km,2 hours 54 mins","84.3 km,1 hour 48 mins","144 km,2 hours 18 mins","151 km,2 hours 48 mins","144 km,2 hours 24 mins","70.5 km,1 hour 34 mins","141 km,2 hours 35 mins","278 km,4 hours 58 mins","118 km,2 hours 8 mins","232 km,3 hours 30 mins","286 km,4 hours 10 mins","312 km,4 hours 31 mins","263 km,3 hours 39 mins","318 km,4 hours 49 mins","221 km,3 hours 39 mins","313 km,3 hours 59 mins","321 km,5 hours 43 mins","152 km,2 hours 42 mins","223 km,3 hours 22 mins","259 km,4 hours 16 mins","165 km,3 hours 10 mins","243 km,3 hours 50 mins","288 km,3 hours 52 mins","144 km,2 hours 35 mins","226 km,4 hours 23 mins","171 km,2 hours 42 mins","294 km,3 hours 53 mins","203 km,3 hours 39 mins","50.8 km,1 hour 14 mins"
2,"Prisjan,  Pirot Administrative District","191 km,3 hours 32 mins",,"221 km,3 hours 2 mins","133 km,2 hours 41 mins","101 km,1 hour 43 mins","290 km,3 hours 54 mins","197 km,2 hours 22 mins","172 km,2 hours 0 mins","197 km,2 hours 32 mins","315 km,3 hours 36 mins","178 km,2 hours 10 mins","224 km,3 hours 32 mins","256 km,3 hours 3 mins","410 km,5 hours 36 mins","174 km,3 hours 32 mins","251 km,3 hours 10 mins","45.1 km,44 mins","297 km,4 hours 52 mins","48.0 km,1 hour 12 mins","337 km,5 hours 20 mins","182 km,2 hours 12 mins","217 km,2 hours 32 mins","213 km,3 hours 30 mins","314 km,4 hours 49 mins","90.1 km,1 hour 44 mins","195 km,2 hours 55 mins","88.4 km,1 hour 23 mins","212 km,2 hours 27 mins","225 km,3 hours 5 mins","268 km,3 hours 45 mins","335 km,3 hours 47 mins","296 km,3 hours 21 mins","314 km,3 hours 42 mins","81.6 km,1 hour 45 mins","161 km,2 hours 15 mins","299 km,3 hours 24 mins","140 km,1 hour 51 mins","87.5 km,1 hour 45 mins","305 km,4 hours 4 mins","217 km,3 hours 49 mins","170 km,2 hours 9 mins","167 km,2 hours 40 mins","255 km,3 hours 7 mins","355 km,4 hours 41 mins","163 km,2 hours 31 mins","175 km,2 hours 35 mins","191 km,3 hours 42 mins","191 km,2 hours 52 mins","455 km,6 hours 25 mins","137 km,2 hours 34 mins","156 km,2 hours 53 mins","285 km,4 hours 39 mins","51.1 km,49 mins","231 km,2 hours 40 mins","157 km,2 hours 20 mins","144 km,1 hour 55 mins","139 km,1 hour 50 mins","170 km,2 hours 26 mins","287 km,3 hours 59 mins","119 km,1 hour 47 mins","216 km,3 hours 29 mins","180 km,2 hours 8 mins","344 km,4 hours 38 mins","313 km,4 hours 0 mins","450 km,6 hours 47 mins","206 km,3 hours 42 mins","245 km,2 hours 52 mins","164 km,3 hours 28 mins","202 km,3 hours 18 mins","298 km,4 hours 58 mins","119 km,1 hour 31 mins","378 km,4 hours 59 mins","319 km,5 hours 2 mins","252 km,3 hours 5 mins","149 km,2 hours 38 mins","254 km,2 hours 58 mins","159 km,2 hours 17 mins","270 km,4 hours 25 mins","161 km,2 hours 3 mins","270 km,4 hours 20 mins","50.4 km,1 hour 15 mins","34.3 km,43 mins","150 km,1 hour 45 mins","183 km,2 hours 14 mins","267 km,3 hours 21 mins","179 km,2 hours 39 mins","357 km,4 hours 57 mins","169 km,3 hours 9 mins","269 km,3 hours 33 mins","377 km,5 hours 7 mins","369 km,5 hours 16 mins","335 km,5 hours 13 mins","240 km,3 hours 47 mins","283 km,3 hours 10 mins","235 km,3 hours 17 mins","275 km,4 hours 6 mins","250 km,3 hours 32 mins","127 km,2 hours 41 mins","256 km,4 hours 9 mins","144 km,2 hours 2 mins","110 km,1 hour 25 mins","333 km,4 hours 22 mins","225 km,2 hours 39 mins","407 km,5 hours 33 mins","335 km,4 hours 8 mins","130 km,2 hours 28 mins","195 km,3 hours 18 mins","117 km,1 hour 35 mins","284 km,3 hours 35 mins","136 km,1 hour 41 mins","329 km,5 hours 29 mins","215 km,2 hours 57 mins","27.6 km,36 mins","215 km,2 hours 54 mins","437 km,6 hours 4 mins","133 km,1 hour 55 mins","200 km,2 hours 17 mins","141 km,1 hour 59 mins","14.9 km,24 mins","171 km,2 hours 57 mins","210 km,2 hours 37 mins","241 km,3 hours 32 mins","272 km,3 hours 22 mins","180 km,2 hours 41 mins","58.2 km,1 hour 12 mins","308 km,4 hours 11 mins","174 km,2 hours 15 mins","222 km,2 hours 32 mins","289 km,3 hours 46 mins","185 km,2 hours 30 mins","283 km,3 hours 40 mins","186 km,3 hours 24 mins","297 km,3 hours 16 mins","192 km,2 hours 33 mins","112 km,1 hour 26 mins","169 km,3 hours 7 mins","68.1 km,1 hour 25 mins","280 km,4 hours 36 mins","72.8 km,1 hour 26 mins","155 km,2 hours 8 mins","118 km,2 hours 23 mins","236 km,3 hours 9 mins","187 km,2 hours 17 mins","150 km,3 hours 3 mins","145 km,2 hours 17 mins","237 km,2 hours 37 mins","323 km,5 hours 21 mins","77.7 km,1 hour 7 mins","91.0 km,1 hour 55 mins","183 km,2 hours 54 mins","48.5 km,1 hour 10 mins","167 km,2 hours 28 mins","212 km,2 hours 30 mins","52.9 km,1 hour 5 mins","305 km,4 hours 46 mins","94.5 km,1 hour 20 mins","218 km,2 hours 31 mins","31.0 km,37 mins","224 km,3 hours 8 mins"
3,"Godacica,  Kraljevo City","152 km,2 hours 54 mins","221 km,3 hours 2 mins",,"274 km,3 hours 50 mins","161 km,2 hours 36 mins","84.5 km,1 hour 30 mins","105 km,1 hour 46 mins","103 km,1 hour 38 mins","128 km,2 hours 9 mins","150 km,2 hours 15 mins","226 km,2 hours 55 mins","87.0 km,1 hour 29 mins","69.3 km,1 hour 20 mins","184 km,3 hours 2 mins","314 km,4 hours 41 mins","116 km,2 hours 11 mins","185 km,2 hours 26 mins","157 km,2 hours 46 mins","243 km,3 hours 34 mins","135 km,2 hours 44 mins","113 km,1 hour 49 mins","265 km,3 hours 17 mins","271 km,3 hours 54 mins","111 km,2 hours 13 mins","170 km,3 hours 6 mins","45.1 km,1 hour 1 min","165 km,2 hours 27 mins","75.7 km,1 hour 24 mins","114 km,2 hours 10 mins","67.5 km,1 hour 11 mins","150 km,2 hours 16 mins","161 km,2 hours 23 mins","179 km,2 hours 43 mins","231 km,3 hours 24 mins","69.0 km,1 hour 17 mins","165 km,2 hours 25 mins","188 km,2 hours 35 mins","163 km,2 hours 57 mins","108 km,1 hour 33 mins","270 km,3 hours 59 mins","54.4 km,1 hour 1 min","140 km,2 hours 40 mins","48.7 km,58 mins","129 km,2 hours 7 mins","212 km,3 hours 16 mins","71.4 km,1 hour 22 mins","173 km,3 hours 33 mins","87.0 km,1 hour 38 mins","229 km,3 hours 51 mins","152 km,2 hours 17 mins","165 km,2 hours 38 mins","145 km,2 hours 33 mins","253 km,3 hours 13 mins","44.9 km,58 mins","114 km,2 hours 3 mins","79.4 km,1 hour 28 mins","187 km,2 hours 35 mins","66.2 km,1 hour 10 mins","153 km,3 hours 0 mins","96.6 km,1 hour 48 mins","274 km,3 hours 53 mins","228 km,2 hours 53 mins","118 km,2 hours 5 mins","87.1 km,1 hour 27 mins","224 km,4 hours 14 mins","226 km,3 hours 22 mins","94.9 km,1 hour 53 mins","305 km,4 hours 37 mins","259 km,3 hours 42 mins","159 km,2 hours 52 mins","168 km,2 hours 15 mins","152 km,2 hours 26 mins","116 km,2 hours 25 mins","27.2 km,36 mins","206 km,3 hours 3 mins","119 km,1 hour 59 mins","88.8 km,1 hour 35 mins","130 km,2 hours 19 mins","77.1 km,1 hour 28 mins","131 km,2 hours 15 mins","246 km,3 hours 37 mins","199 km,2 hours 45 mins","198 km,2 hours 30 mins","81.3 km,1 hour 37 mins","91.7 km,1 hour 44 mins","227 km,3 hours 24 mins","131 km,2 hours 24 mins","195 km,3 hours 9 mins","134 km,2 hours 34 mins","151 km,2 hours 33 mins","143 km,2 hours 43 mins","133 km,2 hours 37 mins","100 km,1 hour 41 mins","148 km,2 hours 11 mins","30.7 km,37 mins","72.3 km,1 hour 29 mins","48.7 km,58 mins","140 km,2 hours 14 mins","117 km,2 hours 4 mins","122 km,2 hours 14 mins","159 km,2 hours 9 mins","107 km,1 hour 48 mins","90.0 km,1 hour 41 mins","181 km,3 hours 0 mins","200 km,3 hours 9 mins","187 km,2 hours 52 mins","253 km,3 hours 42 mins","133 km,2 hours 19 mins","58.3 km,1 hour 2 mins","85.6 km,1 hour 33 mins","163 km,3 hours 18 mins","131 km,2 hours 31 mins","196 km,2 hours 38 mins","23.3 km,35 mins","211 km,3 hours 30 mins","127 km,2 hours 10 mins","248 km,3 hours 2 mins","119 km,2 hours 11 mins","213 km,2 hours 51 mins","228 km,3 hours 22 mins","45.5 km,1 hour 7 mins","143 km,2 hours 47 mins","73.8 km,1 hour 30 mins","228 km,3 hours 25 mins","207 km,2 hours 50 mins","82.1 km,1 hour 38 mins","99.5 km,1 hour 53 mins","73.5 km,1 hour 25 mins","63.2 km,1 hour 13 mins","54.6 km,1 hour 4 mins","87.1 km,1 hour 55 mins","235 km,3 hours 40 mins","119 km,2 hours 11 mins","29.0 km,32 mins","116 km,1 hour 47 mins","218 km,3 hours 23 mins","182 km,2 hours 40 mins","140 km,2 hours 30 mins","159 km,2 hours 56 mins","204 km,2 hours 53 mins","258 km,3 hours 32 mins","284 km,3 hours 53 mins","235 km,3 hours 2 mins","291 km,4 hours 12 mins","126 km,2 hours 21 mins","285 km,3 hours 22 mins","184 km,3 hours 15 mins","160 km,2 hours 13 mins","195 km,2 hours 45 mins","231 km,3 hours 38 mins","226 km,3 hours 22 mins","143 km,2 hours 30 mins","260 km,3 hours 14 mins","204 km,3 hours 0 mins","103 km,2 hours 10 mins","143 km,2 hours 4 mins","266 km,3 hours 15 mins","235 km,3 hours 4 mins","155 km,2 hours 46 mins"
4,"Gornja Lisina,  Bosilegrad Municipality","302 km,4 hours 28 mins","133 km,2 hours 41 mins","274 km,3 hours 50 mins",,"172 km,2 hours 41 mins","344 km,4 hours 42 mins","251 km,3 hours 10 mins","226 km,2 hours 48 mins","250 km,3 hours 20 mins","369 km,4 hours 24 mins","58.5 km,1 hour 19 mins","252 km,4 hours 7 mins","309 km,3 hours 51 mins","377 km,6 hours 21 mins","41.5 km,53 mins","304 km,3 hours 59 mins","124 km,2 hours 25 mins","325 km,5 hours 27 mins","158 km,3 hours 15 mins","391 km,6 hours 9 mins","236 km,3 hours 0 mins","99.9 km,1 hour 44 mins","339 km,4 hours 55 mins","368 km,5 hours 37 mins","216 km,3 hours 9 mins","223 km,3 hours 30 mins","133 km,2 hours 4 mins","266 km,3 hours 15 mins","279 km,3 hours 53 mins","271 km,4 hours 25 mins","389 km,4 hours 36 mins","350 km,4 hours 10 mins","368 km,4 hours 30 mins","59.1 km,1 hour 25 mins","215 km,3 hours 3 mins","353 km,4 hours 12 mins","142 km,2 hours 10 mins","203 km,2 hours 58 mins","359 km,4 hours 52 mins","343 km,5 hours 14 mins","224 km,2 hours 58 mins","195 km,3 hours 15 mins","309 km,3 hours 56 mins","409 km,5 hours 29 mins","135 km,2 hours 36 mins","203 km,3 hours 10 mins","340 km,4 hours 52 mins","219 km,3 hours 26 mins","509 km,7 hours 13 mins","275 km,3 hours 28 mins","287 km,3 hours 49 mins","313 km,5 hours 14 mins","166 km,2 hours 57 mins","285 km,3 hours 28 mins","185 km,2 hours 55 mins","198 km,2 hours 43 mins","106 km,1 hour 52 mins","224 km,3 hours 14 mins","341 km,4 hours 47 mins","172 km,2 hours 35 mins","342 km,4 hours 54 mins","46.7 km,1 hour 0 mins","398 km,5 hours 27 mins","367 km,4 hours 48 mins","503 km,7 hours 36 mins","332 km,5 hours 7 mins","299 km,3 hours 41 mins","32.3 km,49 mins","328 km,4 hours 43 mins","326 km,5 hours 33 mins","122 km,1 hour 50 mins","432 km,5 hours 48 mins","372 km,5 hours 50 mins","305 km,3 hours 53 mins","275 km,4 hours 3 mins","308 km,3 hours 46 mins","187 km,2 hours 52 mins","298 km,5 hours 0 mins","215 km,2 hours 51 mins","298 km,4 hours 55 mins","160 km,3 hours 18 mins","104 km,2 hours 3 mins","82.1 km,1 hour 26 mins","237 km,3 hours 3 mins","321 km,4 hours 9 mins","151 km,2 hours 44 mins","411 km,5 hours 46 mins","318 km,4 hours 19 mins","323 km,4 hours 21 mins","431 km,5 hours 55 mins","422 km,6 hours 4 mins","389 km,6 hours 2 mins","268 km,4 hours 22 mins","337 km,3 hours 59 mins","289 km,4 hours 5 mins","329 km,4 hours 54 mins","303 km,4 hours 21 mins","263 km,3 hours 25 mins","284 km,4 hours 44 mins","198 km,2 hours 50 mins","124 km,1 hour 51 mins","387 km,5 hours 10 mins","279 km,3 hours 28 mins","461 km,6 hours 22 mins","388 km,4 hours 56 mins","256 km,3 hours 53 mins","321 km,4 hours 43 mins","143 km,2 hours 12 mins","338 km,4 hours 24 mins","190 km,2 hours 29 mins","357 km,6 hours 4 mins","269 km,3 hours 46 mins","135 km,2 hours 38 mins","269 km,3 hours 42 mins","490 km,6 hours 52 mins","161 km,2 hours 30 mins","82.8 km,1 hour 29 mins","195 km,2 hours 48 mins","126 km,2 hours 31 mins","297 km,4 hours 22 mins","263 km,3 hours 25 mins","295 km,4 hours 20 mins","325 km,4 hours 10 mins","151 km,2 hours 46 mins","76.3 km,1 hour 30 mins","362 km,5 hours 0 mins","228 km,3 hours 4 mins","276 km,3 hours 20 mins","343 km,4 hours 34 mins","239 km,3 hours 18 mins","337 km,4 hours 28 mins","312 km,4 hours 49 mins","351 km,4 hours 5 mins","246 km,3 hours 22 mins","166 km,2 hours 15 mins","295 km,4 hours 32 mins","186 km,2 hours 42 mins","308 km,5 hours 11 mins","205 km,2 hours 59 mins","118 km,2 hours 6 mins","27.6 km,34 mins","53.4 km,1 hour 54 mins","67.5 km,1 hour 26 mins","18.2 km,24 mins","173 km,2 hours 52 mins","119 km,1 hour 49 mins","351 km,5 hours 56 mins","165 km,2 hours 16 mins","112 km,2 hours 2 mins","105 km,2 hours 5 mins","158 km,3 hours 12 mins","195 km,3 hours 3 mins","95.0 km,1 hour 42 mins","208 km,3 hours 3 mins","359 km,5 hours 35 mins","140 km,2 hours 2 mins","101 km,1 hour 43 mins","146 km,2 hours 45 mins","278 km,3 hours 56 mins"
5,"Labukovo,  Svrljig Municipality","132 km,2 hours 37 mins","101 km,1 hour 43 mins","161 km,2 hours 36 mins","172 km,2 hours 41 mins",,"231 km,3 hours 29 mins","138 km,1 hour 57 mins","113 km,1 hour 35 mins","137 km,2 hours 7 mins","256 km,3 hours 11 mins","123 km,1 hour 48 mins","170 km,3 hours 9 mins","196 km,2 hours 37 mins","351 km,5 hours 11 mins","211 km,3 hours 34 mins","191 km,2 hours 45 mins","66.3 km,1 hour 9 mins","243 km,4 hours 29 mins","124 km,2 hours 17 mins","278 km,4 hours 55 mins","69.9 km,1 hour 30 mins","163 km,2 hours 9 mins","191 km,3 hours 7 mins","254 km,4 hours 24 mins","67.7 km,1 hour 21 mins","141 km,2 hours 32 mins","50.5 km,1 hour 9 mins","153 km,2 hours 2 mins","165 km,2 hours 40 mins","209 km,3 hours 20 mins","276 km,3 hours 22 mins","237 km,2 hours 56 mins","255 km,3 hours 17 mins","129 km,2 hours 16 mins","92.1 km,1 hour 49 mins","240 km,2 hours 59 mins","85.4 km,1 hour 28 mins","40.0 km,1 hour 3 mins","245 km,3 hours 39 mins","185 km,3 hours 19 mins","111 km,1 hour 44 mins","112 km,2 hours 17 mins","195 km,2 hours 42 mins","296 km,4 hours 16 mins","109 km,2 hours 8 mins","121 km,2 hours 12 mins","136 km,2 hours 55 mins","136 km,2 hours 29 mins","396 km,6 hours 0 mins","71.0 km,1 hour 31 mins","83.4 km,1 hour 52 mins","230 km,4 hours 16 mins","134 km,1 hour 56 mins","172 km,2 hours 15 mins","103 km,1 hour 57 mins","61.8 km,1 hour 24 mins","84.6 km,1 hour 27 mins","102 km,2 hours 0 mins","228 km,3 hours 34 mins","47.5 km,1 hour 6 mins","194 km,3 hours 5 mins","126 km,1 hour 45 mins","284 km,4 hours 13 mins","254 km,3 hours 35 mins","390 km,6 hours 22 mins","174 km,3 hours 12 mins","186 km,2 hours 27 mins","202 km,3 hours 30 mins","179 km,2 hours 54 mins","244 km,4 hours 35 mins","65.2 km,1 hour 8 mins","319 km,4 hours 34 mins","259 km,4 hours 37 mins","192 km,2 hours 40 mins","126 km,2 hours 15 mins","195 km,2 hours 33 mins","104 km,1 hour 54 mins","215 km,4 hours 3 mins","102 km,1 hour 38 mins","216 km,3 hours 58 mins","127 km,2 hours 20 mins","79.7 km,1 hour 28 mins","95.6 km,1 hour 22 mins","124 km,1 hour 49 mins","208 km,2 hours 56 mins","125 km,2 hours 16 mins","298 km,4 hours 32 mins","114 km,2 hours 23 mins","209 km,3 hours 8 mins","318 km,4 hours 42 mins","309 km,4 hours 51 mins","276 km,4 hours 48 mins","186 km,3 hours 24 mins","224 km,2 hours 45 mins","176 km,2 hours 52 mins","216 km,3 hours 41 mins","190 km,3 hours 7 mins","59.9 km,1 hour 29 mins","202 km,3 hours 47 mins","30.3 km,47 mins","56.1 km,1 hour 2 mins","274 km,3 hours 57 mins","165 km,2 hours 14 mins","348 km,5 hours 8 mins","275 km,3 hours 43 mins","107 km,2 hours 4 mins","173 km,2 hours 55 mins","62.3 km,1 hour 13 mins","225 km,3 hours 10 mins","76.8 km,1 hour 16 mins","275 km,5 hours 6 mins","156 km,2 hours 32 mins","76.7 km,1 hour 21 mins","156 km,2 hours 29 mins","377 km,5 hours 39 mins","78.3 km,1 hour 33 mins","145 km,1 hour 55 mins","40.2 km,1 hour 0 mins","93.4 km,1 hour 34 mins","148 km,2 hours 34 mins","150 km,2 hours 12 mins","145 km,2 hours 53 mins","212 km,2 hours 57 mins","125 km,2 hours 18 mins","104 km,1 hour 42 mins","249 km,3 hours 46 mins","115 km,1 hour 50 mins","163 km,2 hours 7 mins","230 km,3 hours 21 mins","126 km,2 hours 5 mins","224 km,3 hours 15 mins","154 km,2 hours 54 mins","238 km,2 hours 51 mins","133 km,2 hours 8 mins","36.4 km,50 mins","137 km,2 hours 37 mins","37.6 km,54 mins","225 km,4 hours 13 mins","56.6 km,1 hour 10 mins","101 km,1 hour 46 mins","156 km,2 hours 25 mins","181 km,2 hours 46 mins","132 km,1 hour 55 mins","188 km,3 hours 4 mins","90.2 km,1 hour 55 mins","182 km,2 hours 14 mins","269 km,4 hours 58 mins","23.0 km,36 mins","92.1 km,1 hour 38 mins","128 km,2 hours 31 mins","75.9 km,1 hour 43 mins","113 km,2 hours 5 mins","158 km,2 hours 7 mins","59.8 km,1 hour 14 mins","246 km,4 hours 21 mins","38.2 km,57 mins","164 km,2 hours 8 mins","116 km,1 hour 47 mins","107 km,2 hours 30 mins"
