,Longitude,Latitude,City name
0,21.771915,44.19627,Жагубица
1,22.557563,43.076729,Присјан
2,20.856367,43.777767,Годачица
3,22.362308,42.559731,Горња Лисина
4,21.932266,43.508242,Лабуково
5,20.363809,44.115408,Ручићи
6,21.352847,44.088945,Балајнац
7,21.42594,43.925052,Батинац
8,21.589001,44.04526,Ресавица
9,20.406003,44.424105,Миросаљци
10,22.045194,42.72848,Калиманце
11,20.668407,43.402958,Биљановац
12,20.766087,44.182039,Горња Трнава
13,19.828721,43.421018,Дрмановићи
14,22.419184,42.358096,Доње Тламино
15,21.379414,44.416409,Дубочка
16,22.273851,43.233699,Ново Село
17,20.40398,42.936362,Батраге
18,22.798488,43.214694,Брлог
19,20.042119,43.399974,Кладница
20,21.718226,43.839201,Криви Вир
21,21.891365,42.394186,Шапранце
22,22.263789,44.48049,Мироч
23,20.05495,43.572007,Катићи
24,22.298123,43.696797,Минићево
25,20.878752,43.505119,Станишинци
26,22.024691,43.215249,Марина Кутина
27,21.142728,44.091945,Милошево
28,21.484116,44.308222,Ждрело
29,20.611224,43.490317,Полумир
30,20.356213,44.557619,Велики Борак
31,21.467404,44.582647,Чешљева Бара
32,21.627339,44.619665,Малешево
33,22.403887,42.87907,Градска
34,21.303882,43.490973,Наупаре
35,21.424722,44.729553,Тополовник
36,21.685388,43.041599,Црквица
37,22.157452,43.563908,Васиљ
38,20.27338,44.284886,Дудовица
39,22.317223,44.655199,Текија
40,21.302221,43.625795,Велика Крушевица
41,21.129818,43.177979,Игриште
42,20.647222,44.036976,Липовац
43,19.774959,43.788551,Мачкат
44,21.695041,42.831455,Бувце
45,21.017485,43.380138,Жиљци
46,21.943481,44.313239,Лесково
47,20.894581,43.303619,Ливађе
48,19.720447,43.237364,Гробнице
49,22.081852,43.919647,Шарбановац
50,22.010486,44.040107,Злот
51,20.361198,43.249402,Шароње
52,22.715261,43.056394,Чиниглавци
53,20.907246,44.047865,Крагујевац
54,21.269774,43.213037,Барбатовац
55,21.518778,43.507586,Велики Шиљеговац
56,21.876001,42.969784,Доње Трњане
57,21.165277,43.516728,Мрмош
58,21.776354,44.472234,Волуја
59,21.571004,43.393571,Вукања
60,22.572779,44.592474,Кладово
61,22.158245,42.704093,Бело Поље
62,19.919553,43.964238,Засеље
63,20.102757,43.869861,Гугаљ
64,19.340629,43.500631,Заградина
65,22.042499,44.52272,Бољетин
66,20.870459,44.368105,Глибовац
67,22.296458,42.501815,Доња Љубата
68,22.498069,44.497643,Грабовица
69,20.192151,43.251126,Дражевиће
70,21.932388,43.097472,Печењевце
71,19.541205,43.833041,Витаси
72,20.2329,43.441414,Глеђица
73,20.724537,43.911412,Кнић
74,22.359431,44.165506,Сиколе
75,21.212841,44.508453,Влашки До
76,21.169055,43.349937,Разбојна
77,20.570598,43.110532,Трнава
78,21.362525,43.770691,Обреж
79,20.477769,43.205454,Прћенова
80,22.910436,43.112095,Изатовци
81,22.369803,43.108179,Братишевац
82,22.045233,42.898802,Мала Копашница
83,21.258324,43.942146,Бресје
84,20.65428,44.338647,Копљаре
85,21.553198,42.792141,Петриље
